as_rank,asn,as_name,is_cloud,instance_count
3,174,COGENT-174,0,5
6,6939,HURRICANE,0,8
17,12389,ROSTELECOM-AS,0,2
18,3320,DTAG,0,50
22,16735,,0,1
26,6830,LibertyGlobal,0,4
28,7018,ATT-INTERNET4,0,50
30,701,UUNET,0,39
36,7922,COMCAST-7922,0,50
38,9121,TTNet,0,1
50,32097,WII,0,1
52,4766,KIXS-AS-KR,0,15
53,9009,M247,0,3
59,7843,TWC-7843-BB,0,1
68,13335,CLOUDFLARENET,0,1273
79,3303,SWISSCOM,0,4
84,2497,IIJ,0,4
91,209,CENTURYLINK-US-LEGACY-QWEST,0,24
92,5617,TPNET,0,4
97,7545,TPG-INTERNET-AP,0,4
99,20473,AS-VULTR,0,94
104,20115,CHARTER-20115,0,15
106,22773,ASN-CXA-ALL-CCI-22773-RDC,0,1
117,60068,CDN77,0,7
119,577,BACOM,0,10
125,17676,ULTINA,0,6
126,8708,RCS-RDS,0,5
127,38195,SUPERLOOP-AS-AP,0,1
128,9318,SKB-AS,0,5
138,2516,KDDI,0,8
147,1764,NEXTLAYER-AS,0,1
150,7303,,0,1
156,6327,SHAW,0,11
163,8447,A1TELEKOM-AT,0,3
165,10796,TWC-10796-MIDWEST,0,6
173,6730,SUNRISE,0,6
195,12302,Vodafone_Ro,0,1
205,13030,INIT7,0,11
207,11404,AS-WAVE-1,0,1
209,852,ASN852,0,9
219,5650,FRONTIER-FRTR,0,7
223,1257,SWIPNET,0,2
226,12874,FASTWEB,0,2
232,8881,VERSATEL,0,14
235,812,ROGERS-COMMUNICATIONS,0,2
239,57344,TELEHOUSE-AS,0,1
243,30781,JAGUAR-AS,0,1
249,3269,ASN-IBSNAZ,0,5
256,3215,AS3215,0,27
261,13649,ASN-FLEXENTIAL,0,2
265,50629,LWLCOM,0,5
269,3209,VODANET,0,28
287,16019,VODAFONE-CZ-AS,0,2
292,2856,BT-UK-AS,0,7
295,12578,APOLLO-AS,0,1
299,20055,AS-WHOLESAIL,0,8
300,4764,WIDEBAND-AS-AP,0,17
313,11664,,0,1
328,4713,OCN,0,7
332,24961,MYLOC-AS,0,19
336,6079,RCN-AS,0,4
340,11427,TWC-11427-TEXAS,0,3
348,20001,TWC-20001-PACWEST,0,1
355,2519,Vectant,0,3
356,3292,TDC,0,4
361,21949,BEANFIELD,0,2
366,2119,TELENOR-NEXTEL,0,4
369,15576,NTS,0,1
370,12400,PARTNER-AS,0,2
372,12430,VODAFONE_ES,0,2
373,36236,NETACTUATE,0,1
378,55850,MERCURYNZ-AS-AP,0,1
385,6855,SK-TELEKOM,0,2
393,3301,TELIANET-SWEDEN,0,3
394,3462,HINET,0,2
402,33363,BHN-33363,0,1
403,29208,QUANTCOM-AS,0,1
404,28343,,0,1
436,34549,MEER-AS,0,4
442,12297,TELECOM-ARMENIA,0,2
451,15557,LDCOMNET,0,6
452,3352,Telefonica_de_Espana,0,8
456,34779,T-2-AS,0,4
461,12479,UNI2-AS,0,4
464,1267,ASN-WINDTRE,0,4
465,11426,TWC-11426-CAROLINAS,0,1
473,2518,BIGLOBE,0,5
474,11351,TWC-11351-NORTHEAST,0,3
475,58224,TCI,0,1
479,16276,OVH,1,2242
485,6696,VERIXI,0,1
494,8151,,0,2
497,29802,HVC-AS,0,16
510,1916,,0,1
511,13767,DATABANK-DFW,0,1
516,719,ELISA-AS,0,4
517,11796,AIRSTREAMCOMM-NET,0,1
519,13367,COMCAST-13367,0,1
529,9381,HKBNES-AS-AP,0,1
557,40676,AS40676,0,14
566,8767,MNET-AS,0,2
574,19108,SUDDENLINK-COMMUNICATIONS,0,1
577,5483,MAGYAR-TELEKOM-MAIN-AS,0,1
593,12083,WOW-INTERNET,0,2
597,136557,HOST-AS-AP,0,1
602,8412,TMA,0,5
623,30600,AS-CMN,0,5
628,17222,,0,1
644,5089,NTL,0,8
650,62000,NETRIX-AS,0,8
655,24940,HETZNER-AS,1,1108
657,8437,UTA-AS,0,1
661,835,GOCODEIT-EDGE,0,1
674,16509,AMAZON-02,1,167
676,53667,PONYNET,0,20
683,16086,DNA,0,2
685,9145,EWETEL,0,3
697,8473,BAHNHOF,0,8
710,6181,FUSE-NET,0,1
712,3249,ESTPAK,0,4
731,10010,TOKAI,0,2
733,11492,CABLEONE,0,3
743,20860,IOMART-AS,0,1
748,2200,FR-RENATER,0,4
751,15704,AS15704,0,4
766,13977,CTELCO,0,1
767,8758,IWAY,0,2
772,47160,MOJI,0,1
776,4181,TDS-AS,0,3
791,11232,MIDCO-NET,0,1
812,262191,,0,2
821,1136,KPN,0,15
834,11260,EASTLINK-HSI,0,1
859,8492,OBIT-AS,0,1
866,12271,TWC-12271-NYC,0,1
869,6697,BELPAK-AS,0,1
870,58212,DATAFOREST,0,5
871,3262,SARENET,0,1
885,11776,ATLANTICBB-JOHNSTOWN,0,1
890,53356,FREE RANGE CLOUD,0,2
897,855,CANET-ASN-4,0,5
901,1653,SUNET,0,3
905,16097,HLKOMM,0,3
910,200845,AVATEL-AS,0,1
937,12843,TELEMAXX,0,1
944,3170,VELOXSERV,0,2
951,25019,SAUDINETSTC-AS,0,1
954,44735,SIP-ASN,0,1
971,786,JANET,0,1
977,29695,Altibox_AS,0,5
987,51088,A2B,0,1
988,10242,USINTERNET,0,2
1005,1836,GREEN,0,1
1007,9136,WOBCOM,0,2
1010,56030,VOYAGERNET-AS-AP,0,1
1019,680,DFN,0,10
1026,36352,AS-COLOCROSSING,0,24
1038,29169,GANDI-AS,0,2
1041,50917,DIEDERIK-AS,0,1
1047,5432,PROXIMUS-ISP-AS,0,6
1049,8422,NETCOLOGNE,0,1
1068,13768,COGECO-PEER1,0,1
1082,15935,HA-VEL-LOCAL-AS,0,1
1097,30722,VODAFONE-IT-ASN,0,3
1114,56655,GIGAHOST,0,1
1116,21473,PFALZKOM,0,1
1117,42473,AS-ANEXIA,0,1
1120,47692,NESSUS,0,12
1133,15108,ALLO-COMM,0,1
1160,4213,EVOCATIVE-GLOBAL,0,1
1170,397423,TIER-NET,0,3
1176,47626,ASTIMER,0,1
1184,9534,MAXIS-AS1-AP,0,1
1187,766,RedIRIS,0,1
1198,13110,INEA-AS,0,1
1202,197071,ACTIVE-SERVERS,0,1
1210,34019,HIVANE,0,2
1222,12337,NORIS-NETWORK,0,1
1240,5769,VIDEOTRON,0,6
1246,54825,PACKET,0,1
1249,49981,WorldStream,0,1
1257,8283,COLOCLUE-AS,0,3
1261,29551,HGCOMP-ASN,0,2
1280,1103,SURFNET-NL,0,2
1286,6848,TELENET-AS,0,1
1291,803,SASKTEL,0,2
1294,15600,QUICKLINE,0,3
1298,20454,SSASN2,0,1
1303,41998,NetComBW-AS,0,1
1318,553,BELWUE,0,2
1319,33915,TNF-AS,0,11
1332,26827,EPBTELECOM,0,1
1348,12859,NL-BIT,0,4
1350,23961,MNI-AS-AP,0,1
1359,203446,SMARTNET LIMITED,0,1
1362,50266,Odido,0,6
1369,18450,WEBNX,0,1
1381,35847,AS-EFTL,0,1
1390,39122,BLACKNIGHT-AS,0,2
1392,29691,NINE,0,1
1405,203936,AS-MISMENET,0,1
1411,10111,ZEONET-AS-AP,0,1
1422,137,ASGARR,0,1
