country,totalPosts,totalUsers,numberOfInstances,averagePostsPerUser
NL,105269893,102337,181,1028.6591653067806
JP,70037027,73338,415,954.9895961166108
KR,24614210,50073,41,491.5665128911789
CR,191040,461,4,414.40347071583517
DK,76087,219,19,347.42922374429224
SG,5174483,17407,138,297.26449129660483
RO,1038226,3802,10,273.07364544976326
BR,204996,763,9,268.67103538663173
ZA,100546,421,8,238.82660332541568
CA,5990997,32453,229,184.6053369488183
PT,5346764,34050,652,157.02684287812042
LT,224167,1725,10,129.95188405797103
AU,4081321,32007,78,127.5133876964414
SE,248521,2079,48,119.53872053872054
GB,5264831,45125,249,116.67215512465374
