instanceUrl,numberOfPeers,n.user_count,n.post_count
mastodon.social,16821,2734739,131726225
mastodon.online,16464,189377,10608587
mstdn.social,16439,261299,20088443
mas.to,16421,183971,10976052
fosstodon.org,16300,62442,4240866
chaos.social,16274,13005,8360180
hachyderm.io,16274,56449,4074546
infosec.exchange,16215,75993,4361671
mastodon.gamedev.place,16188,33514,1721158
social.tchncs.de,16178,22857,3573231
mastodon.world,16171,191803,7250207
mastodon.xyz,16154,28448,2251909
ohai.social,16146,40038,1865090
mamot.fr,16145,40020,7131412
indieweb.social,16092,11842,731153
social.coop,16092,1979,829990
universeodon.com,16056,81696,3984571
wandering.shop,16042,3807,2437099
masto.ai,16023,73258,2885844
beige.party,16021,748,1841668
zirk.us,16021,6099,899820
kolektiva.social,16002,40085,3558844
mathstodon.xyz,15994,20481,1436206
toot.community,15944,32290,1872375
dice.camp,15941,9294,1277638
fediscience.org,15924,5781,640317
aus.social,15917,25906,3115406
techhub.social,15917,83204,2201153
mastodon.sdf.org,15907,73099,2414489
writing.exchange,15905,3700,596569
social.linux.pizza,15889,12004,873075
mastodon.scot,15882,29122,2409865
mastodon.ie,15880,21219,1688862
norden.social,15874,13814,3172395
mastodon.nl,15872,43818,2922623
framapiaf.org,15869,10785,2753659
eldritch.cafe,15808,12986,3106196
sfba.social,15804,39209,3100516
mindly.social,15777,36001,1629703
social.lol,15767,1662,429171
twit.social,15761,8315,522691
mastodon.uno,15755,76822,1534711
toot.cat,15744,2776,788447
ieji.de,15742,15148,420360
me.dm,15726,30548,225523
defcon.social,15699,15671,352883
climatejustice.social,15692,9818,749234
vmst.io,15690,1228,319933
piaille.fr,15690,41043,3275952
queer.party,15679,6131,1184137
ruby.social,15675,6416,374433
mstdn.party,15674,52124,1781125
troet.cafe,15660,46832,3876730
oldbytes.space,15655,1152,430514
wetdry.world,15650,2993,1193152
tilde.zone,15644,2187,417797
ioc.exchange,15644,27061,588277
metalhead.club,15629,5784,623732
sueden.social,15616,14613,856012
mstdn.io,15603,894,1417139
mstdn.games,15603,2493,414855
ravenation.club,15595,27935,488125
vis.social,15593,6261,217816
urbanists.social,15593,6403,633508
mastodon.au,15582,27081,754269
ruhr.social,15572,10753,845471
toot.wales,15563,11279,782521
sunny.garden,15542,2762,407517
c.im,15542,67851,3377552
sauropods.win,15541,700,285556
meow.social,15538,13094,2393110
photog.social,15533,3243,581272
todon.eu,15524,4510,773966
todon.nl,15521,3629,1592138
med-mastodon.com,15515,11620,461147
corteximplant.com,15513,620,236449
swiss.social,15504,2313,246884
en.osm.town,15502,1023,145091
freeradical.zone,15500,2894,739720
sciences.social,15499,5394,275506
social.cologne,15488,12073,792321
mastodon.radio,15483,3714,425623
astrodon.social,15470,2714,193134
sigmoid.social,15467,11075,217636
mastodon.nu,15462,17296,933797
nerdculture.de,15459,7164,748070
dair-community.social,15455,402,63271
masto.pt,15447,5298,512377
tapbots.social,15446,8,20760
phpc.social,15444,5129,346039
mastodon.me.uk,15442,2700,556205
socel.net,15434,8656,478635
ecoevo.social,15430,5362,345528
cyberplace.social,15422,11400,127803
hostux.social,15421,8532,512944
noc.social,15420,13419,457931
bildung.social,15414,3129,470336
lor.sh,15410,4568,845799
mastodon.design,15410,1268,138300
furry.engineer,15407,1743,491902
